vendorID;title;description;country;descr_type
89;"Candy Girl";"<p>Продукция Candy Girl впервые появилась в продаже в конце 2012 года. Благодаря яркости, смелому дизайну и доступной цене эротическое бельё этой марки мгновенно стало популярным в России. На сегодняшний день ассортимент Candy Girl насчитывает более 55 фантастических моделей, и их число постоянно растёт. </p> <p>Условно всю линейку можно разделить на три коллекции: эффектные клубные платья, игровые костюмы для ролевых игр и наряды из сетки. Платья, многие из которых выполнены из блестящей ткани или имеют пикантные вырезы/разрезы, сделают свою хозяйку как минимум звездой вечеринки, как максимум – украшением спальни. </p> <p>Благодаря игровым костюмам – кошечки, медсестры, заключённой, полисвумен, стюардессы и пр. – всегда можно примерить новый и очень сексуальный образ. Боди, платья и комбинезоны из сетки, подчёркивая пленительные изгибы фигурки, легко превратят любую в секс-бомбу или жрицу ночи. </p>";Китай;html
90;OVO;;Германия;html
91;Odeco;;Китай;html
92;"Pink Lipstick";"<p>В начале 2013 года американская компания International Intimates Inc., довольно известная на мировом рынке, познакомила всех с новой торговой маркой - Pink Lipstick. Ориентированная на молодых женщин, она была представлена клубными платьями и эффектными комплектами для вечеринок, неоновыми леггинсами и колготками. Чуть позже ассортимент пополнился чулками, платьями и комбинезонами из сетки, а также элегантными, но от этого не менее сексуальными, облегающими платьями.</p>  <p>Основные цвета белья и одежды Pink Lipstick – игривый розовый и строгий чёрный. Большинство моделей не имеет швов, благодаря чему топы, мини-юбочки и платья особенно приятны в носке. Использование блестящих тканей (в том числе материалов с эффектом wet-look) и декорирование пайетками и бантами делают каждую вещь от Pink Lipstick особенной, а её владелицу – самой яркой звёздочкой вечеринки! </p>";США;html
104;Masculan;;Германия;html
105;"Издательский Дом ЭКСМО";"Российское издательство, одно из крупнейших в Европе. Оно выпускает более 8 тыс. наименований книг в год общим тиражом порядка 80 млн. экземпляров.";Россия;html
106;Jopen;;США;html
107;"Jes Extender";;Дания;html
108;"Male Edge";;Дания;html
109;"Pandora Novelties";;Китай;html
110;DIOGOL;;Франция;html
111;Shunga;"<p>В 2000 году канадская компания Eau Zone Oils & Fragrances, будучи уже довольно успешной и узнаваемой, решила разработать новый бренд косметической продукции - SHUNGA Erotic Art. Shunga – это одно из направлений японской ксилографии или искусство создания эротических гравюр. Стремясь воплотить всю его чувственность, компания создала линейку потрясающих косметических и интимных товаров, исполнение которых стилизовано в духе shunga. </p> <p>На сегодняшний день под брендом SHUNGA Erotic Art выпускается более 60 наименований косметических средств, среди которых есть гели и массажные масла, лубриканты, возбуждающие и пролонгирующие крема, соли и гели для ванн, краски и пудра для тела. Вся интимная косметика SHUNGA гипоаллергенна, многие продукты являются органическими, ну а некоторые, благодаря уникальному составу, даже съедобны. </p> <p>SHUNGA Erotic Art – это потрясающие ароматы, высокое качество, а также неповторимый стиль и изысканность в каждом флаконе! </p>";Канада;html
112;"Natural touch";;Таиланд;html
